
hammerhead | swimming trunks
cock | partridge
junco | coucal
kite | hip
vulture | church
axolotl | thunder snake
frog | African chameleon
loggerhead | snorkel
whiptail | wolf spider
chameleon | chiton
snake | green mamba
snake | cliff
snake | red-backed sandpiper
snake | whiptail
python | hognose snake
viper | thunder snake
spider | bustard
spider | cliff
chicken | ptarmigan
grey | macaw
coucal | howler monkey
wallaby | red fox
jellyfish | toaster
conch | hermit crab
lobster | Dungeness crab
ridgeback | dhole
bloodhound | bikini
greyhound | feather boa
elkhound | Siberian husky
otterhound | Norfolk terrier
terrier | Airedale
Airedale | soft-coated wheaten terrier
terrier | Bouvier des Flandres
terrier | borzoi
Lhasa | French bulldog
retriever | brown bear
retriever | hippopotamus
setter | Brittany spaniel
schipperke | French bulldog
sheepdog | polecat
collie | Australian terrier
dog | Appenzeller
Appenzeller | Greater Swiss Mountain dog
EntleBucher | Walker hound
Dane | bull mastiff
dog | Siberian husky
husky | Bouvier des Flandres
affenpinscher | Newfoundland
Samoyed | Angora
Cardigan | beagle
poodle | Bouvier des Flandres
poodle | balance beam
coyote | timber wolf
fox | dingo
fox | dingo
cat | lynx
cougar | wallaby
jaguar | Egyptian cat
lion | hyena
grasshopper | tiger beetle
cockroach | holster
mantis | grasshopper
rabbit | hare
boar | bison
ox | ram
hartebeest | impala
weasel | hippopotamus
skunk | American black bear
cat | Komodo dragon
indri | three-toed sloth
eel | slug
sturgeon | German short-haired pointer
gar | canoe
abacus | trifle
accordion | grand piano
altar | organ
amphibian | bullet train
apron | desk
ashcan | bucket
ballpoint | fountain pen
barbershop | laptop
barometer | guillotine
towel | lab coat
bathtub | washbasin
beaker | pop bottle
bottle | red wine
binder | revolver
boathouse | patio
bottlecap | buckeye
bow | warthog
tie | harp
breakwater | beacon
broom | scabbard
bucket | mountain tent
cab | power drill
caldron | barrel
opener | revolver
carousel | amphibian
kit | lawn mower
player | parking meter
cello | violin
telephone | hand-held computer
saw | lumbermill
cleaver | butcher shop
cloak | overskirt
shaker | beer glass
coffeepot | beer glass
keyboard | space bar
confectionery | grocery store
crate | file
Pot | rain barrel
desk | racer
computer | screen
diaper | swimming trunks
watch | iPod
dishwasher | shopping basket
platform | aircraft carrier
fountain | umbrella
pen | scabbard
coat | bannister
pump | tank
grille | minivan
hammer | chain saw
harp | clog
hatchet | buckle
theater | entertainment center
honeycomb | flatworm
jinrikisha | bicycle-built-for-two
joystick | tripod
kimono | pajama
